businessGuid, sun_0, sun_1, sun_2, sun_3, sun_4, sun_5, sun_6, sun_7, sun_8, sun_9, sun_10, sun_11, sun_12, sun_13, sun_14, sun_15, sun_16, sun_17, sun_18, sun_19, sun_20, sun_21, sun_22, sun_23, mon_0, mon_1, mon_2, mon_3, mon_4, mon_5, mon_6, mon_7, mon_8, mon_9, mon_10, mon_11, mon_12, mon_13, mon_14, mon_15, mon_16, mon_17, mon_18, mon_19, mon_20, mon_21, mon_22, mon_23, tue_0, tue_1, tue_2, tue_3, tue_4, tue_5, tue_6, tue_7, tue_8, tue_9, tue_10, tue_11, tue_12, tue_13, tue_14, tue_15, tue_16, tue_17, tue_18, tue_19, tue_20, tue_21, tue_22, tue_23, wed_0, wed_1, wed_2, wed_3, wed_4, wed_5, wed_6, wed_7, wed_8, wed_9, wed_10, wed_11, wed_12, wed_13, wed_14, wed_15, wed_16, wed_17, wed_18, wed_19, wed_20, wed_21, wed_22, wed_23, thu_0, thu_1, thu_2, thu_3, thu_4, thu_5, thu_6, thu_7, thu_8, thu_9, thu_10, thu_11, thu_12, thu_13, thu_14, thu_15, thu_16, thu_17, thu_18, thu_19, thu_20, thu_21, thu_22, thu_23, fri_0, fri_1, fri_2, fri_3, fri_4, fri_5, fri_6, fri_7, fri_8, fri_9, fri_10, fri_11, fri_12, fri_13, fri_14, fri_15, fri_16, fri_17, fri_18, fri_19, fri_20, fri_21, fri_22, fri_23, sat_0, sat_1, sat_2, sat_3, sat_4, sat_5, sat_6, sat_7, sat_8, sat_9, sat_10, sat_11, sat_12, sat_13, sat_14, sat_15, sat_16, sat_17, sat_18, sat_19, sat_20, sat_21, sat_22, sat_23
v_fV3nYIZQRGBdRL9jXeAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gFDTSqVdeuAGA-mzWEP2rQ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,2,1,,,2,,1,,,,,,,,,,,,,,1,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
l3yL2rQ6PoFBQ06RLczn9w,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,2,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,1,3,3,1,5,,,,,,,,,,,,,,,,,,,,,1,2,8,3,,,,,,,,,,,,,,,,,,,,1,1,2,4,2,,1,1,,,,,,,,,,,,,,,,,,,2,2,3,,
WQc22qucCCtOytbx5CHqbw,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,1,,2,,,,,1,,3,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,
W8CHl0aVIgW0JPpKsfAbxQ,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XkNQVTkCEzBrq7OlRHI11Q,,,,,,,,,,,2,,2,1,1,,1,1,1,4,,,,,,,,,,,,,,1,,2,1,,,,,,,2,,,,,,,,,,,,,,,1,2,,,1,,,2,3,2,,,,,,,,,,,,,,,,2,1,2,,,,2,3,5,,,,,,,,,,,,,,,,1,3,,1,,2,3,7,6,4,2,,,,,,,,,,,,,,1,,,,,6,5,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZhFOyMDn4JdXg11NMPkupA,,,,,1,1,1,2,2,,2,1,,,,,,1,,,,,,1,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,2,,1,1,2,1,1,1,,,,,,2,1,,,,,,,,,2,,2,,1,3,1,,,,1,1,,,2,,,,,,,,,,,2,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,3,4,2,,1,,,,,,,,,,,,,,,,,,,2,1,,2,,1,,,,,,,,,,,,
7kAXbY8hjHhC-nZKR2Embg,,,,,,,,,,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,2,1,2,,,,,,,,,,,,1,,1,,,1,,,,,1,,,2,,,,,,,,,,,3,,1,,1,2,,,1,1,,,,1,,,,,,,,,,,,,,1,,3,1,,,,,1,,,,,,,,,,,,,2,2,1,5,2,2,1,2,,2,,1,,,,,,,1,,,,,,,,,,1,1,,3,1,1,,,,,,,,
D-4CJpsKDji6TYHq5A6UYA,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l7gUqxGk1Zf41r8K6FVMnA,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oATnqNmOwJheEspngG7eZw,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,1,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,2,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,
rRe2eLIQ4MQ7d6vFL26Qdg,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
pa6K7DGByxBXxcVJ59nWMw,,,,,,,,3,2,3,3,5,4,1,1,,,,,,1,,,,,,,,,,4,13,2,4,6,4,,2,,1,2,,1,,1,,,,,,,,,,1,5,2,5,4,5,7,1,1,,,,3,1,,1,,,,,,,,,,1,3,2,3,4,3,1,,1,2,3,1,,,,,,,,,,,,1,3,6,7,3,8,10,3,1,,1,,,1,1,2,,,,,,,,,2,5,12,15,16,20,18,10,2,1,1,,3,3,,1,,,,,,,,,3,6,17,19,11,10,16,13,4,,,,,,1,,,
xrNL6b5x1W1begCWFDduIw,,,,,,,,,,1,1,,2,3,,3,2,2,,4,,,,,,,,,,,,1,,2,3,,,1,1,,1,1,,,1,1,,,,,,,,,1,,,,,,1,1,,2,3,,1,1,1,1,,,,,,,,,,,1,,1,,1,4,1,,,4,1,,1,,,,,,,,,,,,,1,2,,,1,2,,1,1,,,,,,,,,,,,,,,3,3,2,1,1,1,6,,2,2,1,,1,1,,,,,,,,,,1,,1,,3,2,1,2,2,4,1,,2,,1,,
n_wZriiakBT7sVn87dpcEA,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ulwQfFPpJhUSjyWCTv4pdg,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,1,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
zj2Olhf6zQGvm3DtCaEXew,,,,,,,,,,,3,4,6,1,1,,3,10,4,2,2,1,5,,,,,,,,,,2,1,,1,4,5,1,1,5,5,16,11,9,1,1,,,,,,,,,1,1,,4,6,2,3,,2,1,6,8,2,5,,1,1,,,,,,,,,3,,,4,3,1,3,1,3,14,15,10,10,7,4,1,,,,,,,,,,,,6,6,5,5,3,4,8,6,9,6,2,2,5,,2,,,,,,,,3,1,2,5,6,7,4,8,7,5,2,1,5,2,,,1,,,,,,,,,6,2,6,12,5,6,6,6,3,4,4,5,1,2
jhI4kxnLhK3olQ5rfCyvPQ,,,,,,,,,,,1,3,1,2,,1,5,5,,,,,,,,,,,,,,,2,,2,2,3,,,1,1,2,,,,,,,,,,,,,,,1,1,2,1,1,,1,3,,2,,,,,,,,,,,,,,,1,,2,3,2,1,2,,2,2,,,,,,,,,,,,,2,1,,,1,2,2,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SvOkHoPPPM7MVT4yAKuHqg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21yMkDG8nN2nANLVjIO4-w,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,
Q-hSD_aOi3S5s2zWNvwD4w,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,2,1,,,,,3,1,,,,,,,,,,,,,,1,,,1,2,2,3,1,1,,,,,,,,,,,,,,,,,,,2,3,,1,2,,2,,,,,,,
HrTXmtWrsgmWnoqV5nbTGg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SSW1EqnX2VfRVGtPsd03Hg,,,,,,,,1,,2,,,1,,,,,,,,,,1,,,,,,,,1,,2,,,1,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,2,2,,,,,,,,,,,,,,
BINYfrtGp3A4w0d5E7kbYw,,,,,,,,,,,,1,2,,,1,3,3,,,,,1,,1,,,,,,1,,,1,,1,,2,1,,2,2,3,4,1,1,,,,,,,,,,,,1,,2,1,,1,2,,4,5,3,1,,,,,,,,,,1,,,,1,,1,,,,2,5,1,5,,1,,,,,,,,,,,,1,,1,2,1,4,2,3,6,8,2,4,2,1,,2,,,,,,,,,2,,3,2,2,1,,3,4,2,13,4,1,,2,,,,,,,,,,,,1,,,1,5,1,1,1,4,3,,,
aljaT41Exv3SBrQrODdiYw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
jMqcipWlVtodzRFM3snKcg,,,,,,,,,,1,,1,2,,1,,2,1,2,3,,,,,,,,,,,,1,1,,1,,2,,,,1,3,4,4,1,,,,,,,,,,,,,1,,1,,1,,,,8,3,3,1,,,,,,,,,,,1,2,1,,1,,,,,1,1,2,3,2,,,,,,,,,,,1,,,1,,2,,,,1,1,1,,1,,,,,,,,,,,3,,6,3,3,1,1,1,,1,2,1,2,,,,,,,,,,,2,1,1,2,2,1,,5,2,5,,1,2,,,,,
YsB1NWGekh-4ETJW3vyyWw,,,,,,,,,,,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sPGA1jGpPeeFRg8sPMacKA,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,
GKzbmBwL2GsRlF7RMuhQdQ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hfKi84ErK10adnRAW5OiSw,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,2,,,,,1,,1,2,1,,,,,,,,,,,,,3,,,,,,2,2,4,1,1,1,,,,,,,,,,,,,1,1,2,2,2,2,,2,2,1,,,,,,,,,,,,,,1,,3,1,,1,2,3,,3,,,,,
9abVm7KMVTc0K6HB6nCUmA,,,,,,,1,5,1,1,1,,,,,1,,,,,,,,,,1,,,,,1,3,3,1,1,,,2,,,2,,,,,,,,,,,,,,2,3,6,1,,,,,3,,1,,,,,,,,,,,,,,1,5,2,1,1,,,1,2,1,,3,,,,,,,,,,,,,3,3,3,1,1,,,,1,4,1,,,,,,,,,1,,,,,2,1,2,1,3,,,,,1,1,,,,,1,,,,,,,,,,1,,,1,2,1,,,,,1,,,,,,
x8MeQsAS0IHmnDK7L9FPBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
2VyJINnFzXVjWWRxn_FsRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
RIRgqPezzlRVV4Y2G5TgoQ,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,3,1,3,2,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,
X0W2mqiFF0eCE6ynL2V3OA,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,
C4_VnxikagdjSbNQiblzYw,,,,,,,,1,,2,1,1,1,,1,,,,,,,,,,,,,,,,,,1,3,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,1,2,,2,1,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2J3JfjXZLnX1rLhWKthqA,3,1,,,,,,,,,1,3,2,1,1,6,1,6,6,5,6,7,5,5,7,1,,,,,,,,,2,5,4,1,3,6,2,12,7,9,4,4,4,4,,,,,,,1,,,,2,11,3,2,2,7,9,11,8,6,9,7,,3,2,,,,,,,,,,2,7,7,7,1,8,2,19,16,9,7,9,5,7,7,4,,,,,,,,,,7,8,6,1,5,10,33,29,22,26,15,14,11,11,12,,,,,,,,,4,4,6,9,14,14,16,24,18,21,23,23,24,30,16,8,,,,,,,,2,,4,5,9,8,7,10,13,17,6,7,8,4,5
nfeIPaPNPC3awILVzLMg6Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,1,1,1,2,2,,,,,1,1,1,,,,,,,,,,,,,,,,3,2,,,,1,,1,,,,,
JLHBdowaViDIvRKQD6iITQ,,,,,,,,1,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ISHH8x8Qe6IoVTQWegbpQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,1,,,,,,,,,,,,2,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0rd-jRz43JDkx1ghoHnEXQ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Zpw07SfLkkzqKeRk07GWhw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vjHkbRBdUwG8aHDXllz37A,,,,,,,,,,2,,2,,,1,,1,,,,,,,,,1,1,,,,,1,,2,,2,,,,,,1,1,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,2,,,,,,,,,3,,,1,1,,1,,,,,,,,1,,,,,,,,,1,,4,2,,3,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,
TLxHVdXCecn3rnvWP-amPg,,,,,,5,20,14,1,1,,2,4,,2,1,1,1,,,,,1,,,,,,1,7,18,13,2,3,,2,2,1,2,,1,3,,,,1,,,,,,,,7,20,13,7,6,1,1,,,3,1,,,,,,,,,,,,,,3,18,19,,3,2,1,,2,1,1,,1,1,,1,,,,,,,,,3,21,22,4,3,1,5,2,1,1,1,4,,1,1,1,1,,,,,,,,,1,4,3,7,2,1,5,2,1,1,3,,,,,,,,,,,,,1,,5,4,5,6,3,4,2,1,1,2,1,,1,3,,,
VwONNCUI93Qb4SgxvuBd-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Fa48nm4dZwGNrXo2XDoZgg,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,8,1,,3,2,2,,,,,1,,,,,,,,,,,,3,,,1,4,1,,,,1,,,,,,,,,,,,,,,,1,,,1,6,,,,,,,,,,,,,,,,,,,2,3,2,1,,1,2,,,,,,,,,,,,,,,,,,2,2,3,2,1,4,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
K9fIADfO_zKFPFm75A1Hxw,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,1,,1,,,,
pYIVmAh3bfCNIlyt4Xvkjg,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DnKFgFrKZYjDw8ex43isXg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,
QlEU-1VCqJbTzSf8mFAZUg,,,,,,,,,,,,,1,,,2,,3,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,2,1,1,2,,,,3,1,,,,,,,,,,,,,,,,,,1,,1,1,,2,,,,,,,,,,,,,,,,1,,,,1,,1,,,2,,2,1,,1,
5yRChLjoF31e46CttFK9fQ,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,4,5,5,,,,,,1,1,1,,,,,,,,,,,,,,1,,2,1,1,2,1,,,1,,,1,,,,,,,,,,,,3,2,1,2,1,1,,,,,,,,,
rbeBreN9KOWipTUQsmiQ9g,,,,,,,,,,,,,2,1,,,,1,1,2,,,,,,,,,,,,,,,1,2,,1,,1,,1,,1,1,,,,,,,,,,,,,,,2,2,2,,,,3,2,5,1,,,,,,,,,,,,,,,5,2,1,,,,2,3,1,,,,,,,,,,,,,,,1,3,5,2,2,,1,1,1,2,1,1,,,,,,,,,,,,,,,1,1,,1,,2,1,4,2,1,,,,,,,,,,,,,,2,2,1,,,,3,1,2,,,,
NYR02j-mRfBUYjqO59PuaA,1,1,,,,,3,1,1,2,,,,,2,,3,2,4,5,1,7,2,1,,,,,,,3,2,,2,,1,,1,1,1,1,3,3,5,4,4,,1,,,,,,1,2,3,1,2,1,,,1,1,,1,3,2,2,5,6,,,,2,,,2,,4,2,,,,1,1,,1,2,3,2,4,1,1,4,3,3,3,1,,1,,1,1,3,,,1,1,,,,,3,4,2,3,2,4,,2,1,1,,,1,,,,3,4,1,1,3,1,2,3,2,3,3,1,1,1,3,1,1,,1,,,,,2,,1,3,5,1,2,2,2,1,4,3,2,2,5,5,1
29ub4twRqgmWb5iMosV4ig,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
GUxWblMRFzCgy2qDfj5yRg,,,,,,,1,,2,1,1,,,,,,,1,,1,,,,,,,,,,,1,4,3,1,1,,,,,,,1,,,,,,,,,,,,,3,3,,1,,,,,,,,,,,,1,,,,,,,1,,,1,1,1,,,,,,,,,1,,,,,,,,,,,2,1,3,3,1,,,,1,,,1,,,,,,,,,,,,,5,,1,,1,2,1,,2,,1,1,,2,,,,,,,,,,,,,1,1,3,,,1,,,,,,,1,,,,
bGlhPmU4aJssBOy7_RwD6Q,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,1,2,,1,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cDlnR62ds1dcVdbjN1bYiQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Dsvx2LEC8jk9nuGsg1Kqhg,,,,1,,,,,1,1,,,4,2,4,3,7,4,8,8,2,,,,,,,,,,,,,,,1,2,3,4,2,6,8,11,4,4,2,,,,,,,,,,1,1,,1,2,2,2,3,3,2,6,8,4,,,,,,,,,,,,,,2,,1,,1,,3,3,7,11,6,1,,,,,,,,,,,,,,2,1,4,1,5,7,7,4,6,4,4,,,,,,,1,,,,,,3,3,4,3,7,13,5,8,7,4,1,,2,,,,,,,,,,,2,2,4,5,9,10,3,14,10,7,2,3,,,,
MpohnCC0uQNj7DZWaBFSgQ,,,,,,,,,,,,1,4,1,,,1,,1,1,2,,,,,,,,,,,,,,1,4,4,1,,1,,,,1,,,,,,,,,,,,,,,1,3,,2,1,,2,1,1,,,1,,,,,,,,,,,,,2,1,1,,,,,1,1,1,,2,,,,,,,,,,,,,,2,,1,4,,,3,1,2,,1,1,,,,,,,,,,,,,3,1,4,1,,8,2,,2,,,,,1,,,,,,,,,,,,,1,,1,1,1,,1,,,,
